image,label
Img/img061-030.png,y
Img/img031-025.png,U
Img/img023-004.png,M
Img/img053-015.png,q
Img/img019-005.png,I
Img/img009-025.png,8
Img/img021-006.png,K
Img/img050-049.png,n
Img/img062-019.png,z
Img/img045-032.png,i
Img/img038-025.png,b
Img/img043-004.png,g
Img/img004-048.png,3
Img/img061-003.png,y
Img/img017-021.png,G
Img/img023-017.png,M
Img/img023-023.png,M
Img/img014-027.png,D
Img/img055-035.png,s
Img/img056-054.png,t
Img/img031-028.png,U
Img/img010-015.png,9
Img/img011-048.png,A
Img/img029-014.png,S
Img/img018-047.png,H
Img/img045-005.png,i
Img/img055-039.png,s
Img/img010-024.png,9
Img/img020-053.png,J
Img/img014-053.png,D
Img/img041-031.png,e
Img/img003-014.png,2
Img/img028-053.png,R
Img/img020-013.png,J
Img/img015-050.png,E
Img/img002-046.png,1
Img/img062-013.png,z
Img/img058-020.png,v
Img/img048-024.png,l
Img/img055-017.png,s
Img/img035-053.png,Y
Img/img046-051.png,j
Img/img050-038.png,n
Img/img027-032.png,Q
Img/img049-005.png,m
Img/img018-048.png,H
Img/img009-017.png,8
Img/img049-049.png,m
Img/img007-052.png,6
Img/img058-048.png,v
Img/img051-016.png,o
Img/img046-033.png,j
Img/img019-021.png,I
Img/img022-021.png,L
Img/img059-038.png,w
Img/img013-003.png,C
Img/img057-014.png,u
Img/img025-001.png,O
Img/img034-032.png,X
Img/img059-022.png,w
Img/img048-019.png,l
Img/img032-031.png,V
Img/img016-021.png,F
Img/img010-048.png,9
Img/img059-034.png,w
Img/img040-039.png,d
Img/img037-041.png,a
Img/img042-044.png,f
Img/img055-040.png,s
Img/img035-033.png,Y
Img/img034-004.png,X
Img/img039-037.png,c
Img/img020-004.png,J
Img/img045-011.png,i
Img/img023-027.png,M
Img/img031-045.png,U
Img/img028-007.png,R
Img/img005-018.png,4
Img/img021-007.png,K
Img/img033-001.png,W
Img/img041-033.png,e
Img/img043-030.png,g
Img/img003-054.png,2
Img/img025-037.png,O
Img/img005-033.png,4
Img/img040-035.png,d
Img/img037-052.png,a
Img/img017-051.png,G
Img/img028-013.png,R
Img/img033-019.png,W
Img/img028-049.png,R
Img/img053-025.png,q
Img/img042-034.png,f
Img/img033-018.png,W
Img/img046-045.png,j
Img/img020-046.png,J
Img/img050-030.png,n
Img/img011-044.png,A
